name,price,description,image,category
Leather Wallet 1,642,Premium wallet,https://picsum.photos/400/400?random=0,Accessories
Smartphone Stand 2,2763,Adjustable stand,https://picsum.photos/400/400?random=1,Electronics
Bluetooth Headphones 3,6853,Wireless sound,https://picsum.photos/400/400?random=2,Electronics
Sports Watch 4,4686,Digital watch,https://picsum.photos/400/400?random=3,Accessories
Adidas Hoodie 5,4303,Winter hoodie,https://picsum.photos/400/400?random=4,Clothing
Bluetooth Headphones 6,5485,Wireless sound,https://picsum.photos/400/400?random=5,Electronics
Leather Wallet 7,1508,Premium wallet,https://picsum.photos/400/400?random=6,Accessories
Leather Wallet 8,7803,Premium wallet,https://picsum.photos/400/400?random=7,Accessories
Smartphone Stand 9,2316,Adjustable stand,https://picsum.photos/400/400?random=8,Electronics
Casual T-Shirt 10,7573,Cotton t-shirt,https://picsum.photos/400/400?random=9,Clothing
Leather Wallet 11,1614,Premium wallet,https://picsum.photos/400/400?random=10,Accessories
Bluetooth Headphones 12,6051,Wireless sound,https://picsum.photos/400/400?random=11,Electronics
Smartphone Stand 13,2160,Adjustable stand,https://picsum.photos/400/400?random=12,Electronics
Leather Wallet 14,7972,Premium wallet,https://picsum.photos/400/400?random=13,Accessories
Adidas Hoodie 15,7367,Winter hoodie,https://picsum.photos/400/400?random=14,Clothing
Nike Air Max 16,8515,Running shoes,https://picsum.photos/400/400?random=15,Shoes
Leather Wallet 17,4236,Premium wallet,https://picsum.photos/400/400?random=16,Accessories
Leather Wallet 18,538,Premium wallet,https://picsum.photos/400/400?random=17,Accessories
Sports Watch 19,1453,Digital watch,https://picsum.photos/400/400?random=18,Accessories
Bluetooth Headphones 20,1879,Wireless sound,https://picsum.photos/400/400?random=19,Electronics
Denim Jeans 21,9717,Slim fit jeans,https://picsum.photos/400/400?random=20,Clothing
Gaming Mouse 22,7519,RGB gaming mouse,https://picsum.photos/400/400?random=21,Electronics
Smartphone Stand 23,7995,Adjustable stand,https://picsum.photos/400/400?random=22,Electronics
Leather Wallet 24,3797,Premium wallet,https://picsum.photos/400/400?random=23,Accessories
Puma Sneakers 25,3736,Comfort sneakers,https://picsum.photos/400/400?random=24,Shoes
Smartphone Stand 26,9219,Adjustable stand,https://picsum.photos/400/400?random=25,Electronics
Leather Wallet 27,6452,Premium wallet,https://picsum.photos/400/400?random=26,Accessories
Sports Watch 28,4916,Digital watch,https://picsum.photos/400/400?random=27,Accessories
Sports Watch 29,509,Digital watch,https://picsum.photos/400/400?random=28,Accessories
Puma Sneakers 30,3304,Comfort sneakers,https://picsum.photos/400/400?random=29,Shoes
Leather Wallet 31,2882,Premium wallet,https://picsum.photos/400/400?random=30,Accessories
Smartphone Stand 32,1525,Adjustable stand,https://picsum.photos/400/400?random=31,Electronics
Adidas Hoodie 33,580,Winter hoodie,https://picsum.photos/400/400?random=32,Clothing
Leather Wallet 34,6293,Premium wallet,https://picsum.photos/400/400?random=33,Accessories
Denim Jeans 35,6747,Slim fit jeans,https://picsum.photos/400/400?random=34,Clothing
Casual T-Shirt 36,3210,Cotton t-shirt,https://picsum.photos/400/400?random=35,Clothing
Smartphone Stand 37,6177,Adjustable stand,https://picsum.photos/400/400?random=36,Electronics
Denim Jeans 38,6599,Slim fit jeans,https://picsum.photos/400/400?random=37,Clothing
Denim Jeans 39,1824,Slim fit jeans,https://picsum.photos/400/400?random=38,Clothing
Adidas Hoodie 40,3482,Winter hoodie,https://picsum.photos/400/400?random=39,Clothing
Leather Wallet 41,5274,Premium wallet,https://picsum.photos/400/400?random=40,Accessories
Leather Wallet 42,7275,Premium wallet,https://picsum.photos/400/400?random=41,Accessories
